Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000001149,Pxn,0.46103887,FS30,0.000000103,1.62E-05,
ENSRNOG00000010489,Samd4a,-0.383119354,FS120,6.52E-08,1.73E-05,
ENSRNOG00000014549,Arhgef26,-0.400447188,FS60,0.000000179,1.84E-05,
ENSRNOG00000017720,Mxd1,-0.65383825,FS30,0.000000118,1.84E-05,
ENSRNOG00000023509,Irs2,0.532101434,FS30,0.000000122,1.88E-05,
ENSRNOG00000058862,NA,0.773796009,FS60,0.00000019,1.94E-05,
ENSRNOG00000010947,Mmp14,-1.20422071,FS120,0.000000095,2.43E-05,
ENSRNOG00000025612,Sez6l,0.498404468,FS120,9.34E-08,2.43E-05,
ENSRNOG00000003134,Slc4a4,0.457587849,FS120,9.84E-08,2.47E-05,
ENSRNOG00000053803,NA,0.980273511,FS60,0.000000259,2.62E-05,
ENSRNOG00000031136,Ntng1,-0.565651458,FS180,1.62E-08,2.68E-05,
ENSRNOG00000057870,NA,-1.505793714,FS60,0.00000027,2.72E-05,
ENSRNOG00000003242,Gulp1,-0.54506018,FS120,0.00000011,2.73E-05,
ENSRNOG00000018982,Entpd3,-0.952293599,FS60,0.000000287,2.87E-05,
ENSRNOG00000016566,Arhgap39,0.392249995,FS30,0.000000193,2.88E-05,
ENSRNOG00000009000,Foxj2,-0.669889032,FS30,0.000000192,2.88E-05,
ENSRNOG00000006523,Atl2,0.345008063,FS60,0.000000307,3.05E-05,
ENSRNOG00000007422,Vav2,0.517544689,FS120,0.00000013,3.06E-05,
ENSRNOG00000003888,Rgs13,-0.971432485,FS60,0.000000321,3.16E-05,
ENSRNOG00000051725,NA,-0.638568592,FS120,0.000000139,3.22E-05,
ENSRNOG00000024019,Ccdc6,0.373822407,FS60,0.000000342,3.36E-05,
ENSRNOG00000011238,Tiparp,0.543238448,FS30,0.000000231,3.42E-05,
ENSRNOG00000000040,RGD1304622,-0.638720961,FS120,0.000000161,3.68E-05,
ENSRNOG00000028422,Rmnd5a,-0.412080768,FS30,0.000000262,3.84E-05,
ENSRNOG00000014363,Arhgef3,0.457438832,FS60,0.000000396,3.86E-05,
ENSRNOG00000021316,Tmem98,-0.803717484,FS30,0.000000269,3.91E-05,
ENSRNOG00000015596,Efhd1,-0.609076343,FS360,0.000000053,4.01E-05,
ENSRNOG00000004275,Egfl6,-1.113143499,FS360,0.000000056,4.01E-05,
ENSRNOG00000007907,Tmem178a,0.367276354,FS60,0.000000449,4.34E-05,
ENSRNOG00000004741,Rpl19,1.051227923,FS180,2.97E-08,4.42E-05,
ENSRNOG00000004033,Sema6a,-0.39241582,FS60,0.000000486,4.67E-05,
ENSRNOG00000047466,Bdnf,-0.790354072,FS60,0.00000049,4.68E-05,
ENSRNOG00000003280,Grin2c,-0.390028314,FS360,6.99E-08,4.73E-05,
ENSRNOG00000011908,Asxl2,0.421582821,FS60,0.000000504,4.78E-05,
ENSRNOG00000052549,Chga,0.603950964,FS60,0.000000511,4.82E-05,
ENSRNOG00000015514,Bcat1,0.356525284,FS60,0.000000521,4.88E-05,
ENSRNOG00000056017,Bcl7a,-0.536124706,FS30,0.000000375,5.34E-05,
ENSRNOG00000020479,Pik3c2a,0.34833158,FS60,0.000000578,5.38E-05,
ENSRNOG00000004677,Zeb2,-0.456127361,FS60,0.000000585,5.41E-05,
ENSRNOG00000017065,Arhgap28,-0.509563562,FS120,0.000000245,5.43E-05,
ENSRNOG00000005447,LOC100364791,-0.364358578,FS30,0.000000389,5.45E-05,
ENSRNOG00000011677,Slc39a10,-0.471205094,FS60,0.000000598,5.50E-05,
ENSRNOG00000058308,Asic2,0.375457091,FS120,0.000000261,5.62E-05,
ENSRNOG00000005365,Kcnip1,0.985964961,FS120,0.000000269,5.65E-05,
ENSRNOG00000011310,Pde10a,0.522365601,FS120,0.000000271,5.65E-05,
ENSRNOG00000009470,Flnb,0.344169651,FS60,0.000000642,5.87E-05,
ENSRNOG00000007152,Bhlhe40,0.906078164,FS30,0.000000442,6.12E-05,
ENSRNOG00000001492,Slc8a2,-0.488852203,FS60,0.000000686,6.23E-05,
ENSRNOG00000008615,Mal2,-0.580640539,FS60,0.000000703,6.35E-05,
ENSRNOG00000005970,Lrrc1,0.358559014,FS60,0.000000711,6.38E-05,
ENSRNOG00000038574,Rassf9,-0.737533607,FS30,0.000000466,6.39E-05,
ENSRNOG00000000503,Ppard,0.421647725,FS60,0.000000731,6.53E-05,
ENSRNOG00000032206,Cntnap5b,-0.439613474,FS120,0.000000332,6.67E-05,
ENSRNOG00000016189,Frmd5,-0.323809098,FS120,0.000000333,6.67E-05,
ENSRNOG00000019383,Tef,0.40581518,FS120,0.000000337,6.67E-05,
ENSRNOG00000005515,Rhbdl3,0.435604471,FS60,0.000000774,6.84E-05,
ENSRNOG00000001192,Gltp,-0.649952019,FS30,0.000000508,6.91E-05,
ENSRNOG00000015376,Npas1,-0.458499993,FS60,0.00000079,6.93E-05,
ENSRNOG00000002471,Polq,0.513659,FS30,0.00000052,7.01E-05,
ENSRNOG00000004300,Gtf2a1,-0.439368574,FS30,0.000000563,7.51E-05,
ENSRNOG00000006052,Sulf2,0.415817271,FS60,0.000000863,7.52E-05,
ENSRNOG00000018461,Pdgfrb,-0.517506407,FS30,0.000000592,7.84E-05,
ENSRNOG00000028261,Tppp,-0.531247707,FS30,0.000000603,7.91E-05,
ENSRNOG00000021670,Frem2,-0.601494395,FS120,0.000000406,7.92E-05,
ENSRNOG00000057256,Slc19a3,1.108301925,FS60,0.000000929,8.00E-05,
ENSRNOG00000013194,Rps6ka2,0.358749366,FS60,0.000000967,8.29E-05,
ENSRNOG00000007106,Sos1,0.316333648,FS60,0.000000977,8.32E-05,
ENSRNOG00000015794,Fam83d,0.788051642,FS60,0.000000985,8.35E-05,
ENSRNOG00000001128,Tesc,0.424113258,FS120,0.000000441,8.50E-05,
ENSRNOG00000003510,Fmo2,1.274989244,FS30,0.000000665,8.65E-05,
ENSRNOG00000019388,Egfl7,-0.649920935,FS60,0.00000105,8.86E-05,
ENSRNOG00000007687,Sema7a,-0.463271375,FS60,0.00000108,9.07E-05,
ENSRNOG00000004281,Cobl,-0.387298678,FS120,0.00000048,9.12E-05,
ENSRNOG00000007030,Epha7,-0.557084388,FS60,0.00000109,9.12E-05,
ENSRNOG00000042731,Slc25a18,-0.547694502,FS60,0.00000116,9.62E-05,
ENSRNOG00000006975,Wasl,0.327358505,FS60,0.00000117,9.64E-05,
ENSRNOG00000003005,Rasgef1c,-0.648648235,FS120,0.000000544,1.01E-04,
ENSRNOG00000055365,Edem1,0.542852069,FS60,0.00000126,1.02E-04,
ENSRNOG00000021134,Anxa9,0.873983681,FS180,9.81E-08,1.04E-04,
ENSRNOG00000011858,Unc5d,-0.560526607,FS180,9.49E-08,1.04E-04,
ENSRNOG00000004328,Deptor,0.379633239,FS60,0.00000129,1.05E-04,
ENSRNOG00000005934,Mlip,-0.608417732,FS60,0.0000013,1.05E-04,
ENSRNOG00000010266,Cd180,-1.319966416,FS30,0.000000835,1.06E-04,
ENSRNOG00000052391,Sh3bp5,0.395751272,FS30,0.000000842,1.06E-04,
ENSRNOG00000022066,Fam117b,0.317370393,FS60,0.00000135,1.08E-04,
ENSRNOG00000014083,Iqsec3,0.330691296,FS60,0.00000138,1.10E-04,
ENSRNOG00000014153,Lhfp,0.422130401,FS60,0.00000142,1.13E-04,
ENSRNOG00000043503,Ehd1,-0.671206452,FS30,0.000000925,1.15E-04,
ENSRNOG00000008822,Fkbp1a,0.374848604,FS30,0.000000989,1.21E-04,
ENSRNOG00000013166,Wnt4,0.521060401,FS60,0.00000158,1.25E-04,
ENSRNOG00000014163,Zfp536,0.410939321,FS120,0.000000741,1.34E-04,
ENSRNOG00000024730,Ppm1e,0.485156087,FS120,0.000000765,1.37E-04,
ENSRNOG00000011617,Dguok,-0.482099025,FS30,0.00000116,1.40E-04,
ENSRNOG00000056207,Capza2,0.311955165,FS60,0.00000182,1.42E-04,
ENSRNOG00000006979,Hpca,0.623227901,FS60,0.00000189,1.47E-04,
ENSRNOG00000009850,St3gal4,0.341620332,FS60,0.00000194,1.50E-04,
ENSRNOG00000011543,Fam118b,0.338662391,FS60,0.00000205,1.57E-04,
ENSRNOG00000009523,Rab11fip2,-0.395793777,FS30,0.00000134,1.58E-04,
ENSRNOG00000032659,Plcl1,0.34923802,FS120,0.000000917,1.62E-04,
ENSRNOG00000016257,Cotl1,0.519013138,FS60,0.00000217,1.66E-04,
ENSRNOG00000025406,Iqgap2,0.561755087,FS120,0.000000962,1.66E-04,
ENSRNOG00000013491,Setx,0.338546737,FS60,0.00000229,1.74E-04,
ENSRNOG00000006170,Bach2,-0.336126089,FS120,0.00000103,1.74E-04,
ENSRNOG00000014900,Crem,0.460179681,FS30,0.0000015,1.74E-04,
ENSRNOG00000006403,Pvrl1,0.599216381,FS60,0.00000234,1.76E-04,
ENSRNOG00000002413,Gpc4,-0.492338666,FS60,0.00000243,1.82E-04,
ENSRNOG00000012495,Podxl,0.433126751,FS60,0.00000252,1.88E-04,
ENSRNOG00000005669,Car8,-0.664592871,FS60,0.00000254,1.89E-04,
ENSRNOG00000019689,Vwf,0.543914269,FS60,0.00000258,1.90E-04,
ENSRNOG00000025764,Mt1,2.069199525,FS30,0.00000167,1.91E-04,
ENSRNOG00000017249,Zfp366,-0.691782865,FS30,0.00000166,1.91E-04,
ENSRNOG00000028649,Tox3,-0.344321018,FS60,0.00000272,1.99E-04,
ENSRNOG00000014093,Tom1,-0.493792753,FS30,0.00000183,2.06E-04,
ENSRNOG00000005690,Lmcd1,0.491784792,FS30,0.00000186,2.07E-04,
ENSRNOG00000018803,Mkl1,0.380388458,FS60,0.00000287,2.09E-04,
ENSRNOG00000011425,Ptpn3,0.353048501,FS120,0.00000127,2.09E-04,
ENSRNOG00000018251,Mrc1,1.090053163,FS60,0.00000292,2.12E-04,
ENSRNOG00000026178,Adpgk,-0.36883326,FS60,0.00000297,2.12E-04,
ENSRNOG00000046536,LOC690700,-0.471999381,FS60,0.00000299,2.12E-04,
ENSRNOG00000008100,Rgs20,-0.386008558,FS60,0.00000299,2.12E-04,
ENSRNOG00000002151,Tagln3,-0.352988633,FS60,0.00000296,2.12E-04,
