Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000019134,Htr4,0.375996688,FS120,0.00000769,8.64E-04,
ENSRNOG00000046053,Nudt10,-0.312649092,FS60,0.0000159,8.65E-04,
ENSRNOG00000007822,Vgll4,-0.335019858,FS60,0.0000159,8.65E-04,
ENSRNOG00000020346,Best1,-0.867171952,FS60,0.000016,8.66E-04,
ENSRNOG00000013661,Kif26a,-0.688962689,FS30,0.00000952,8.74E-04,
ENSRNOG00000047276,Pkm,-0.565517225,FS60,0.0000169,9.09E-04,
ENSRNOG00000012016,Npc1,0.453362339,FS60,0.000017,9.12E-04,
ENSRNOG00000000697,Coro1c,0.319388272,FS30,0.00001,9.13E-04,
ENSRNOG00000028904,Vps9d1,0.439105939,FS360,0.00000212,9.26E-04,
ENSRNOG00000033433,Csrnp1,0.726714836,FS30,0.0000104,9.37E-04,
ENSRNOG00000028137,Mki67,0.491528794,FS30,0.0000104,9.37E-04,
ENSRNOG00000015257,Coro2b,0.314600122,FS60,0.0000177,9.46E-04,
ENSRNOG00000005214,Plek,-0.436438105,FS60,0.0000178,9.46E-04,
ENSRNOG00000006440,Ift27,-1.144714374,FS30,0.0000106,9.47E-04,
ENSRNOG00000030625,Tf,-0.552685688,FS30,0.0000109,9.67E-04,
ENSRNOG00000025558,Palm2,0.306043953,FS120,0.00000881,9.75E-04,
ENSRNOG00000017405,Raly,0.326791314,FS60,0.0000186,9.83E-04,
ENSRNOG00000022116,Gjb6,0.673051361,FS60,0.0000188,9.92E-04,
ENSRNOG00000007202,Sema3d,0.394189275,FS60,0.0000191,1.00E-03,
ENSRNOG00000029071,Unc5c,-0.290023192,FS120,0.00000941,1.03E-03,
ENSRNOG00000050231,Gng12,-0.310644684,FS120,0.0000095,1.04E-03,
ENSRNOG00000002504,Spata17,0.486823718,FS180,0.00000157,1.06E-03,
ENSRNOG00000017983,Ubac1,-0.504438686,FS30,0.000012,1.06E-03,
ENSRNOG00000028156,Pld1,-0.29410605,FS120,0.00000991,1.06E-03,
ENSRNOG00000028498,Wdr1,-0.254536894,FS120,0.00000985,1.06E-03,
ENSRNOG00000015093,Sparcl1,-0.377064846,FS60,0.0000206,1.08E-03,
ENSRNOG00000007775,Cmpk1,-0.542737326,FS30,0.0000126,1.11E-03,
ENSRNOG00000005731,Birc3,1.080991764,FS30,0.0000128,1.12E-03,
ENSRNOG00000009783,Camk2g,0.309639249,FS60,0.0000216,1.12E-03,
ENSRNOG00000010219,Ralgds,0.39787021,FS60,0.0000219,1.14E-03,
ENSRNOG00000011381,Acsbg1,0.402334978,FS60,0.0000222,1.15E-03,
ENSRNOG00000031364,Kif1c,0.329351356,FS360,0.00000279,1.15E-03,
ENSRNOG00000001747,Pak2,0.337389753,FS60,0.0000226,1.16E-03,
ENSRNOG00000016420,Serpinb6b,-1.320204656,FS30,0.0000135,1.17E-03,
ENSRNOG00000016502,Dscaml1,0.412254925,FS120,0.0000112,1.18E-03,
ENSRNOG00000050997,Ifrd1,0.420366582,FS60,0.000023,1.18E-03,
ENSRNOG00000030210,Fndc1,-0.722479928,FS120,0.0000114,1.19E-03,
ENSRNOG00000007324,Plxna2,0.358020799,FS60,0.0000235,1.20E-03,
ENSRNOG00000060348,Zdhhc23,-0.431611008,FS60,0.0000238,1.21E-03,
ENSRNOG00000006378,Mga,0.316251016,FS60,0.0000246,1.25E-03,
ENSRNOG00000060179,Gpc3,-0.430624245,FS120,0.0000123,1.25E-03,
ENSRNOG00000000700,Tmem119,1.23116101,FS30,0.0000145,1.26E-03,
ENSRNOG00000000500,Scube3,0.346504241,FS120,0.0000124,1.26E-03,
ENSRNOG00000022619,Fth1,0.730259821,FS30,0.0000146,1.26E-03,
ENSRNOG00000012549,Hs2st1,0.298478141,FS60,0.0000253,1.28E-03,
ENSRNOG00000021130,Abcc8,0.401477755,FS120,0.0000128,1.29E-03,
ENSRNOG00000006565,Fstl4,0.484043938,FS120,0.0000131,1.31E-03,
ENSRNOG00000054296,Hist1h2bo,-0.316373287,FS120,0.0000133,1.32E-03,
ENSRNOG00000005509,Pak7,-0.328876951,FS120,0.0000135,1.32E-03,
ENSRNOG00000061498,NA,-0.837488415,FS120,0.0000138,1.34E-03,
ENSRNOG00000058475,NA,-0.507323038,FS60,0.000027,1.35E-03,
ENSRNOG00000011680,Il16,0.334265533,FS60,0.0000271,1.36E-03,
ENSRNOG00000019365,Ablim3,0.455865441,FS60,0.0000273,1.36E-03,
ENSRNOG00000012228,Skap2,-0.337016757,FS60,0.0000278,1.38E-03,
ENSRNOG00000005905,Pde4b,-0.313589303,FS120,0.0000144,1.39E-03,
ENSRNOG00000000599,Lama4,-0.34518334,FS60,0.0000281,1.39E-03,
ENSRNOG00000028097,Slc7a14,-0.338463707,FS60,0.0000282,1.39E-03,
ENSRNOG00000019622,Ackr3,0.683056995,FS30,0.0000166,1.41E-03,
ENSRNOG00000019671,Rsbn1,0.317535925,FS60,0.0000293,1.44E-03,
ENSRNOG00000007528,Kcnh7,-0.445024436,FS180,0.00000244,1.45E-03,
ENSRNOG00000002365,Itm2a,-0.837174406,FS60,0.0000297,1.45E-03,
ENSRNOG00000053206,similar to limkain b1 - LincRNA,-6.012930988,FS60,0.0000297,1.45E-03,
ENSRNOG00000029773,Atm,0.260661321,FS120,0.0000152,1.45E-03,
ENSRNOG00000059068,NA,-0.943778067,FS120,0.0000153,1.45E-03,
ENSRNOG00000028946,Cdc42ep4,0.355228605,FS60,0.00003,1.46E-03,
ENSRNOG00000030232,Hacd3,0.3194661,FS60,0.0000303,1.47E-03,
ENSRNOG00000011263,Plac9,-1.456670754,FS30,0.0000174,1.47E-03,
ENSRNOG00000017036,Sec11c,-0.378423032,FS60,0.0000307,1.48E-03,
ENSRNOG00000008082,Rgs6,-0.427670573,FS180,0.00000259,1.49E-03,
ENSRNOG00000027008,Igtp,-0.603699881,FS120,0.0000157,1.49E-03,
ENSRNOG00000047014,Homer1,0.389222288,FS30,0.0000179,1.51E-03,
ENSRNOG00000002349,Gabra2,-0.367172246,FS60,0.0000314,1.51E-03,
ENSRNOG00000003328,Cdip1,0.349430009,FS30,0.0000182,1.52E-03,
ENSRNOG00000027606,Neurl1b,-0.737832083,FS30,0.0000191,1.56E-03,
ENSRNOG00000004873,Prkch,-0.378566468,FS120,0.0000167,1.57E-03,
ENSRNOG00000015383,Asxl3,-0.294731989,FS120,0.0000169,1.58E-03,
ENSRNOG00000006738,Fbxo32,-0.506549968,FS30,0.0000198,1.61E-03,
ENSRNOG00000011071,Nt5e,0.626644289,FS30,0.0000203,1.64E-03,
ENSRNOG00000027938,RGD1562037,-0.433205655,FS30,0.0000205,1.65E-03,
ENSRNOG00000014051,Pgrmc2,-0.543906398,FS30,0.0000208,1.67E-03,
ENSRNOG00000043199,NA,0.645382491,FS60,0.000035,1.68E-03,
ENSRNOG00000053232,Ror2,0.479715028,FS120,0.0000184,1.68E-03,
ENSRNOG00000029012,Shisa6,0.456032353,FS120,0.0000184,1.68E-03,
ENSRNOG00000042189,Rab31,0.418931683,FS60,0.0000357,1.71E-03,
ENSRNOG00000006885,Dbx2,-0.874381417,FS60,0.0000363,1.71E-03,
ENSRNOG00000016573,Dgat2,0.308208232,FS60,0.000036,1.71E-03,
ENSRNOG00000017419,Map3k4,0.323269566,FS60,0.000036,1.71E-03,
ENSRNOG00000013328,Rbpms,0.59025458,FS60,0.0000362,1.71E-03,
ENSRNOG00000023197,Zfp608,-0.321194091,FS60,0.0000363,1.71E-03,
ENSRNOG00000002911,Alb,1.078024533,FS60,0.0000366,1.72E-03,
ENSRNOG00000002050,Igfbp7,-0.340682134,FS120,0.0000192,1.73E-03,
ENSRNOG00000003491,Prkca,0.377183884,FS120,0.0000192,1.73E-03,
ENSRNOG00000040005,Ndufa1,-2.183200327,FS30,0.000022,1.74E-03,
ENSRNOG00000007124,Krcc1,-0.456756758,FS30,0.0000223,1.76E-03,
ENSRNOG00000005007,Scn3a,-0.32113497,FS60,0.0000375,1.76E-03,
ENSRNOG00000007917,Cd46,0.37287153,FS120,0.0000202,1.79E-03,
ENSRNOG00000011241,Tfdp2,0.248036956,FS120,0.0000201,1.79E-03,
ENSRNOG00000051888,NA,1.239671114,FS120,0.0000204,1.80E-03,
ENSRNOG00000013674,Megf10,-0.322547763,FS360,0.00000498,1.81E-03,
ENSRNOG00000004003,Dusp10,0.427419926,FS30,0.0000233,1.81E-03,
ENSRNOG00000049714,Asap3,-0.595643104,FS30,0.0000235,1.81E-03,
ENSRNOG00000028335,Fat4,-0.369373994,FS60,0.0000388,1.81E-03,
ENSRNOG00000009582,Rpe65,0.615368175,FS60,0.000039,1.82E-03,
ENSRNOG00000025728,Adam32,1.349106479,FS30,0.0000237,1.82E-03,
ENSRNOG00000014369,Slc27a4,-0.552679373,FS30,0.000024,1.83E-03,
ENSRNOG00000020723,Pten,0.297672245,FS60,0.0000394,1.83E-03,
ENSRNOG00000048256,Fam160a1,-1.039919687,FS120,0.0000209,1.83E-03,
ENSRNOG00000007947,Fam13a,0.342497214,FS60,0.0000399,1.84E-03,
ENSRNOG00000046576,LOC681180,-0.338178164,FS60,0.00004,1.84E-03,
ENSRNOG00000049878,Sytl2,-0.544003788,FS120,0.0000218,1.91E-03,
ENSRNOG00000059784,NA,-0.554121679,FS60,0.0000417,1.91E-03,
ENSRNOG00000012653,Ppp1r13b,0.303737473,FS60,0.0000418,1.91E-03,
ENSRNOG00000016558,Pllp,-0.479345913,FS30,0.0000257,1.95E-03,
ENSRNOG00000058039,Acta2,0.702965658,FS30,0.0000261,1.95E-03,
ENSRNOG00000004766,Glis2,-0.59335759,FS30,0.0000261,1.95E-03,
ENSRNOG00000001628,Pcp4,0.451658178,FS30,0.000026,1.95E-03,
ENSRNOG00000004332,Egfr,-0.312004733,FS180,0.00000382,1.96E-03,
ENSRNOG00000006255,Nipal4,-0.813108449,FS60,0.0000436,1.98E-03,
ENSRNOG00000005492,Hpcal1,-0.416898436,FS360,0.0000056,1.98E-03,
ENSRNOG00000012546,Frmpd1,0.554081499,FS60,0.000044,1.99E-03,
ENSRNOG00000005600,Nr4a2,0.909635895,FS30,0.0000267,1.99E-03,
ENSRNOG00000003872,LOC100911874,-1.377549695,FS30,0.000027,2.00E-03,
ENSRNOG00000014556,Cdh20,-0.344203458,FS120,0.0000235,2.00E-03,
ENSRNOG00000055451,Gcnt4,0.461496253,FS120,0.0000235,2.00E-03,
ENSRNOG00000038398,Slc25a31,1.68898104,FS120,0.000024,2.03E-03,
ENSRNOG00000020467,Nrep,-0.48704522,FS60,0.000046,2.07E-03,
ENSRNOG00000014089,Map3k2,0.30465568,FS60,0.0000464,2.08E-03,
ENSRNOG00000001255,Mlxip,0.294132768,FS60,0.0000469,2.10E-03,
ENSRNOG00000012294,Heph,0.599005757,FS60,0.0000482,2.15E-03,
ENSRNOG00000056193,NA,-0.401062515,FS60,0.0000487,2.16E-03,
ENSRNOG00000003936,Pwwp2a,0.284722469,FS60,0.0000487,2.16E-03,
ENSRNOG00000016062,Snta1,0.268911856,FS120,0.0000259,2.17E-03,
ENSRNOG00000017496,Cnp,-0.389224185,FS60,0.0000495,2.19E-03,
ENSRNOG00000049349,Fam19a5,0.300054702,FS120,0.0000265,2.21E-03,
ENSRNOG00000007237,Id2,-0.351169177,FS120,0.0000275,2.25E-03,
ENSRNOG00000004693,Pbx1,-0.353106684,FS120,0.0000275,2.25E-03,
ENSRNOG00000015201,RGD1562084,-0.435138895,FS60,0.0000516,2.28E-03,
ENSRNOG00000016343,Dkk3,0.406029908,FS60,0.0000521,2.29E-03,
ENSRNOG00000011648,Aqp1,-1.187570484,FS120,0.0000291,2.37E-03,
ENSRNOG00000028266,Lrrc55,-0.426196267,FS120,0.0000297,2.41E-03,
ENSRNOG00000016612,Trim36,-0.393625449,FS60,0.0000566,2.48E-03,
ENSRNOG00000030776,Sytl2,-0.518082788,FS120,0.0000312,2.49E-03,
ENSRNOG00000050847,AABR07027902.1,-0.368254819,FS60,0.0000573,2.50E-03,
ENSRNOG00000050275,LOC100912399,-0.438093059,FS30,0.0000345,2.52E-03,
ENSRNOG00000014350,Cyr61,2.208408915,FS30,0.0000347,2.52E-03,
ENSRNOG00000001494,Napa,-0.382451266,FS60,0.000058,2.52E-03,
ENSRNOG00000053787,Mdfic,-0.612613349,FS120,0.0000318,2.53E-03,
ENSRNOG00000033527,Pappa,-0.386255806,FS30,0.0000353,2.54E-03,
ENSRNOG00000046036,Rn60_1_2787.1,1.137245578,FS30,0.0000353,2.54E-03,
ENSRNOG00000025140,Zfat,-0.712135123,FS180,0.00000542,2.60E-03,
ENSRNOG00000000569,MGC112715,-0.513535834,FS60,0.0000604,2.62E-03,
ENSRNOG00000021314,Fdft1,-0.364670834,FS30,0.0000369,2.64E-03,
ENSRNOG00000006532,H3f3b,1.065719298,FS30,0.0000372,2.65E-03,
ENSRNOG00000018359,Smad7,-0.408546312,FS30,0.0000375,2.66E-03,
ENSRNOG00000015670,Stx7,-0.341997852,FS30,0.0000378,2.67E-03,
ENSRNOG00000007866,Clec2dl1,-0.604006332,FS120,0.0000344,2.70E-03,
ENSRNOG00000012708,Ptchd4,-0.413886883,FS180,0.00000584,2.72E-03,
ENSRNOG00000007023,Galm,-0.698702953,FS30,0.000039,2.72E-03,
ENSRNOG00000052357,Fosl2,0.406362286,FS30,0.0000402,2.79E-03,
ENSRNOG00000048190,Rgmb,-0.469805019,FS30,0.0000404,2.79E-03,
ENSRNOG00000015812,Tm4sf1,-0.795237516,FS30,0.0000408,2.80E-03,
ENSRNOG00000024120,Rxfp1,-0.55265742,FS360,0.00000872,2.82E-03,
ENSRNOG00000049802,AABR07031533.1,-0.306343851,FS60,0.0000659,2.84E-03,
ENSRNOG00000027405,Ccp110,-0.307680462,FS60,0.0000663,2.85E-03,
ENSRNOG00000006787,Dhcr24,-0.415155744,FS30,0.0000425,2.89E-03,
ENSRNOG00000018526,Dlg4,0.25576153,FS120,0.0000371,2.89E-03,
ENSRNOG00000009075,Trim13,-0.694020214,FS30,0.0000429,2.90E-03,
ENSRNOG00000020179,Nt5c2,0.280833687,FS60,0.0000682,2.92E-03,
ENSRNOG00000005228,Gnptab,0.274805508,FS60,0.0000685,2.93E-03,
ENSRNOG00000039278,Mcart1,-2.271358988,FS30,0.0000435,2.93E-03,
ENSRNOG00000005309,Scn8a,0.333041114,FS120,0.0000378,2.93E-03,
ENSRNOG00000019490,Slc20a2,-0.254398291,FS120,0.0000384,2.97E-03,
ENSRNOG00000007478,Cry2,0.404227639,FS30,0.0000446,2.97E-03,
ENSRNOG00000003772,Csrp2,-0.628048559,FS30,0.0000447,2.97E-03,
ENSRNOG00000054801,NA,0.452369659,FS30,0.0000443,2.97E-03,
ENSRNOG00000011586,Ccnl1,0.291738764,FS30,0.0000463,2.99E-03,
ENSRNOG00000016032,Cnnm3,-0.470284486,FS30,0.0000453,2.99E-03,
ENSRNOG00000020573,Efna1,-1.059927648,FS30,0.0000461,2.99E-03,
ENSRNOG00000017093,Pxdc1,0.482224718,FS30,0.0000458,2.99E-03,
ENSRNOG00000009389,Ripk2,-0.398417801,FS30,0.0000464,2.99E-03,
ENSRNOG00000057060,NA,-0.670114911,FS60,0.0000704,3.00E-03,
ENSRNOG00000011992,Slc18a1,-1.312412187,FS30,0.0000471,3.03E-03,
ENSRNOG00000027061,Nxpe5,-1.145715932,FS30,0.0000477,3.04E-03,
ENSRNOG00000017703,Unc93b1,-0.443052978,FS60,0.0000721,3.06E-03,
ENSRNOG00000003895,Rgs1,1.677536583,FS30,0.0000487,3.09E-03,
ENSRNOG00000009522,Adra1a,-0.387456127,FS360,0.00000997,3.09E-03,
ENSRNOG00000020923,Tuft1,0.580779734,FS30,0.0000491,3.10E-03,
ENSRNOG00000026169,RGD1560146,-0.718230228,FS120,0.0000406,3.11E-03,
ENSRNOG00000055010,Axin2,-0.382705567,FS30,0.0000495,3.11E-03,
ENSRNOG00000000996,Arpc1a,0.325861006,FS60,0.0000737,3.11E-03,
ENSRNOG00000028658,Olig2,1.128501453,FS30,0.0000498,3.12E-03,
ENSRNOG00000018712,Camk2a,0.353972468,FS120,0.000041,3.12E-03,
ENSRNOG00000029242,Plekho2,-0.558639341,FS60,0.0000758,3.18E-03,
ENSRNOG00000013547,Slc6a12,-0.930671364,FS120,0.0000423,3.20E-03,
ENSRNOG00000007654,Lrig3,0.44013753,FS60,0.0000769,3.22E-03,
ENSRNOG00000002730,Rgs5,-0.433618085,FS30,0.000052,3.24E-03,
ENSRNOG00000014515,Cdc14a,0.3214928,FS60,0.0000784,3.26E-03,
ENSRNOG00000001926,Cldn1,0.918325591,FS30,0.0000529,3.28E-03,
ENSRNOG00000013177,LOC100912399,-0.418664365,FS30,0.0000537,3.29E-03,
ENSRNOG00000003028,Dnah17,-0.37251682,FS60,0.0000796,3.31E-03,
ENSRNOG00000002141,Cd200,-0.370239937,FS30,0.0000555,3.37E-03,
ENSRNOG00000009140,C1qtnf4,-0.646356824,FS60,0.0000818,3.39E-03,
ENSRNOG00000009074,LOC100364854,-0.314443643,FS60,0.0000821,3.39E-03,
ENSRNOG00000003634,Zfp354a,-0.733983878,FS30,0.0000561,3.40E-03,
ENSRNOG00000022472,Snap47,-0.370405974,FS30,0.0000573,3.46E-03,
ENSRNOG00000015088,Prune2,-0.264039905,FS60,0.0000845,3.47E-03,
ENSRNOG00000020860,Tdrkh,-0.46715028,FS30,0.0000579,3.48E-03,
ENSRNOG00000022500,Rwdd4,-0.545601455,FS30,0.0000583,3.49E-03,
ENSRNOG00000019996,Slc16a1,-0.438156201,FS360,0.0000118,3.51E-03,
ENSRNOG00000027923,Mynn,-0.469543273,FS30,0.0000592,3.53E-03,
ENSRNOG00000016443,Vps13d,0.254953467,FS120,0.0000469,3.53E-03,
ENSRNOG00000014684,Npr1,-0.661957499,FS120,0.0000472,3.54E-03,
ENSRNOG00000005592,Brinp2,0.289079251,FS120,0.0000478,3.55E-03,
ENSRNOG00000008947,Cpz,-0.857748289,FS120,0.000048,3.55E-03,
ENSRNOG00000016737,Tcerg1l,0.37900598,FS120,0.0000487,3.57E-03,
ENSRNOG00000003237,Tp53bp2,0.358074335,FS30,0.0000603,3.58E-03,
ENSRNOG00000000814,Fabp7,-0.584979388,FS120,0.0000495,3.61E-03,
ENSRNOG00000014320,Inhba,-0.363765972,FS60,0.0000892,3.65E-03,
ENSRNOG00000018714,Arl5b,0.493125598,FS30,0.000062,3.67E-03,
ENSRNOG00000040257,Chmp2b,-0.492094195,FS30,0.0000628,3.70E-03,
ENSRNOG00000013481,Cdh11,-0.320218164,FS60,0.0000912,3.73E-03,
ENSRNOG00000015686,Col4a3bp,0.260397166,FS60,0.0000918,3.73E-03,
ENSRNOG00000000567,Unc5b,-0.397224684,FS60,0.0000917,3.73E-03,
ENSRNOG00000016528,Ppp1r21,-0.271210773,FS60,0.0000927,3.75E-03,
ENSRNOG00000018755,Acss2,-0.33309663,FS30,0.0000646,3.76E-03,
ENSRNOG00000016571,Ngf,0.510967066,FS30,0.0000645,3.76E-03,
ENSRNOG00000010695,Pdgfc,-0.319655217,FS60,0.000093,3.76E-03,
ENSRNOG00000000611,Ube2d1,-0.33552594,FS30,0.0000651,3.78E-03,
ENSRNOG00000049970,RGD1566085,0.619170089,FS60,0.0000938,3.78E-03,
ENSRNOG00000015972,Ano5,-0.610467525,FS120,0.0000531,3.80E-03,
ENSRNOG00000012818,Ksr1,0.35061619,FS120,0.000053,3.80E-03,
ENSRNOG00000002926,Uap1,0.459788306,FS30,0.000066,3.82E-03,
ENSRNOG00000052256,Dact3,-0.577584415,FS30,0.0000667,3.84E-03,
ENSRNOG00000001928,Il1rap,0.408146503,FS30,0.0000674,3.86E-03,
ENSRNOG00000046313,Basp1,-0.268287528,FS30,0.0000693,3.93E-03,
ENSRNOG00000050510,LOC100363782,-0.373787649,FS60,0.0000979,3.94E-03,
ENSRNOG00000003453,Lypd1,-0.458787424,FS60,0.000100259,4.02E-03,
ENSRNOG00000019005,Pde8a,-0.282429112,FS120,0.0000573,4.05E-03,
ENSRNOG00000014874,Zfyve28,0.267126571,FS120,0.0000573,4.05E-03,
ENSRNOG00000001729,Xxylt1,0.341208923,FS120,0.0000578,4.06E-03,
ENSRNOG00000004004,Nrde2,-0.416973127,FS60,0.000101666,4.06E-03,
ENSRNOG00000034266,Ccdc63,2.526688322,FS30,0.0000725,4.10E-03,
ENSRNOG00000012499,Rarg,-0.574047921,FS30,0.0000731,4.11E-03,
ENSRNOG00000048342,Tbca,-0.297333559,FS30,0.0000734,4.12E-03,
ENSRNOG00000010748,Mtus1,-0.322595063,FS60,0.000104122,4.15E-03,
ENSRNOG00000061051,AABR07003933.1,-0.364860462,FS120,0.0000599,4.17E-03,
ENSRNOG00000054964,Aoah,-0.637909914,FS120,0.0000604,4.19E-03,
ENSRNOG00000003066,Wnt9a,-0.641779349,FS60,0.000105508,4.20E-03,
ENSRNOG00000022694,Plekhg5,0.338930156,FS30,0.0000767,4.26E-03,
ENSRNOG00000011885,Rhpn2,-0.453657413,FS120,0.0000623,4.30E-03,
ENSRNOG00000028255,Usp36,0.277793537,FS30,0.0000781,4.33E-03,
ENSRNOG00000016791,Chka,0.255983393,FS60,0.000110194,4.36E-03,
ENSRNOG00000001174,Pde9a,-0.314143494,FS60,0.000110459,4.36E-03,
ENSRNOG00000001198,Fam222a,0.48008865,FS60,0.000111391,4.38E-03,
ENSRNOG00000053341,NA,-0.30059507,FS60,0.000112355,4.41E-03,
ENSRNOG00000055485,NA,-0.382233851,FS60,0.000112969,4.41E-03,
ENSRNOG00000014872,Sec24d,0.376514804,FS60,0.000113073,4.41E-03,
ENSRNOG00000056228,Atp10a,0.363598552,FS60,0.000113774,4.43E-03,
ENSRNOG00000043219,Fbn2,-0.682523534,FS120,0.0000656,4.48E-03,
ENSRNOG00000006729,Slc24a4,0.369204755,FS120,0.0000668,4.55E-03,
ENSRNOG00000006670,Rai2,-0.446819757,FS30,0.0000824,4.55E-03,
ENSRNOG00000026177,Mgam,-0.298687132,FS120,0.0000676,4.58E-03,
ENSRNOG00000020851,Aplp1,-0.309883464,FS60,0.000118141,4.59E-03,
ENSRNOG00000011921,Dusp4,0.466575708,FS30,0.0000838,4.59E-03,
ENSRNOG00000008930,Tnfsf15,-0.733447602,FS60,0.000118852,4.60E-03,
ENSRNOG00000012702,Nfya,-0.463087034,FS30,0.0000843,4.61E-03,
ENSRNOG00000057943,AABR07058884.2,0.461601499,FS60,0.000120377,4.65E-03,
ENSRNOG00000006776,Smyd1,-0.437202792,FS60,0.000120605,4.65E-03,
ENSRNOG00000048315,Eif2ak2,-0.475506201,FS60,0.000121694,4.68E-03,
ENSRNOG00000006136,Pdpk1,0.276729052,FS60,0.000122139,4.68E-03,
ENSRNOG00000004322,Sh3kbp1,0.349174189,FS30,0.0000862,4.69E-03,
ENSRNOG00000061883,Aqp9,-0.370337537,FS120,0.0000709,4.73E-03,
ENSRNOG00000005369,Kcnj3,-0.545017898,FS60,0.000125957,4.82E-03,
ENSRNOG00000009629,Car2,-0.346457031,FS60,0.000126695,4.83E-03,
ENSRNOG00000018735,Cd74,-1.102418613,FS120,0.0000742,4.91E-03,
ENSRNOG00000011360,Dkk2,-0.627779403,FS120,0.0000753,4.96E-03,
ENSRNOG00000009149,Jam3,0.279709102,FS60,0.000131718,5.00E-03,
ENSRNOG00000049351,Nat8l,-0.722246632,FS30,0.0000941,5.05E-03,
ENSRNOG00000008001,Rab3b,-0.572701087,FS30,0.0000945,5.05E-03,
ENSRNOG00000004496,Rock2,0.286658389,FS60,0.000134044,5.06E-03,
ENSRNOG00000047023,Aldh1l1,-0.375052053,FS30,0.0000952,5.07E-03,
ENSRNOG00000012502,Stk17b,0.449750129,FS60,0.000135821,5.12E-03,
ENSRNOG00000011804,Stx12,-0.378282176,FS30,0.000097,5.15E-03,
ENSRNOG00000019582,Mthfd1l,0.300828991,FS60,0.000138205,5.18E-03,
ENSRNOG00000017579,Mylip,-0.363804986,FS60,0.000138011,5.18E-03,
ENSRNOG00000036828,Pde1b,-0.407130907,FS30,0.0000986,5.21E-03,
ENSRNOG00000010572,Pus7,0.288364856,FS120,0.00008,5.23E-03,
ENSRNOG00000006705,Mkks,-0.569560091,FS30,0.0001003,5.27E-03,
ENSRNOG00000017882,Camk1d,0.408415128,FS120,0.0000818,5.32E-03,
ENSRNOG00000012719,Tdrd12,-1.394540019,FS60,0.000143769,5.38E-03,
ENSRNOG00000023304,Lin9,-0.682975272,FS60,0.000144176,5.38E-03,
ENSRNOG00000060635,NA,-0.296570654,FS120,0.0000835,5.39E-03,
ENSRNOG00000014173,Smc3,0.257983734,FS60,0.000145357,5.40E-03,
ENSRNOG00000056801,NA,-2.470680467,FS60,0.00014744,5.46E-03,
ENSRNOG00000018742,Klk11,-0.565022297,FS120,0.0000859,5.47E-03,
ENSRNOG00000024703,Dock5,-0.319180281,FS120,0.0000889,5.52E-03,
ENSRNOG00000057556,Pdzrn3,-0.338910812,FS120,0.0000888,5.52E-03,
ENSRNOG00000054560,Sh2d3c,-0.37361948,FS120,0.0000887,5.52E-03,
ENSRNOG00000013265,Tgfbr2,-0.374568297,FS120,0.0000892,5.52E-03,
ENSRNOG00000019533,Klhl3,0.291409507,FS120,0.0000901,5.54E-03,
ENSRNOG00000049471,Steap3,-0.707259485,FS30,0.00010637,5.55E-03,
ENSRNOG00000012324,Soga3,-0.270375965,FS30,0.000107175,5.57E-03,
ENSRNOG00000047088,Rab10,-0.270075449,FS30,0.000108752,5.63E-03,
ENSRNOG00000058522,Fam214a,0.252221288,FS60,0.000153453,5.65E-03,
ENSRNOG00000018839,Ntrk2,0.315814306,FS60,0.000155649,5.71E-03,
ENSRNOG00000013934,St5,0.293107586,FS60,0.000155535,5.71E-03,
ENSRNOG00000001874,Slc7a4,-0.609375758,FS120,0.0000935,5.71E-03,
ENSRNOG00000029995,Herpud2,0.319801461,FS60,0.000156454,5.72E-03,
ENSRNOG00000001204,Ankrd13a,0.346296691,FS60,0.000157601,5.75E-03,
ENSRNOG00000003694,Prox1,-0.325430725,FS60,0.000159516,5.80E-03,
ENSRNOG00000006749,Tmtc3,0.332607553,FS60,0.000159989,5.81E-03,
ENSRNOG00000019742,Stat3,0.363967032,FS60,0.000160464,5.81E-03,
ENSRNOG00000008258,Fnbp1,-0.242960962,FS120,0.0000958,5.82E-03,
ENSRNOG00000029260,Pitpnm2,0.305261093,FS120,0.0000964,5.83E-03,
ENSRNOG00000018200,Gad2,0.33769049,FS30,0.000113762,5.85E-03,
ENSRNOG00000024114,Zdbf2,0.473988023,FS30,0.00011501,5.87E-03,
ENSRNOG00000003723,Wdr26,0.263959665,FS60,0.000163044,5.89E-03,
ENSRNOG00000002381,Bmp3,-0.625409358,FS30,0.000116326,5.90E-03,
ENSRNOG00000013764,Fam118a,-0.52016214,FS30,0.000115955,5.90E-03,
ENSRNOG00000004458,Ston2,-0.311614582,FS60,0.000165653,5.97E-03,
ENSRNOG00000015401,Mapk4,0.508628287,FS60,0.000166881,6.00E-03,
ENSRNOG00000024712,Insc,-0.392111947,FS60,0.000167313,6.00E-03,
ENSRNOG00000007378,Acox2,0.337626931,FS30,0.000118924,6.01E-03,
ENSRNOG00000001126,Fbxw8,0.21978342,FS120,0.000100364,6.05E-03,
ENSRNOG00000019140,Banp,0.249098401,FS120,0.000101239,6.07E-03,
ENSRNOG00000020525,Col5a3,-0.506905384,FS120,0.000101532,6.07E-03,
ENSRNOG00000033206,Entpd5,0.43683502,FS120,0.00010224,6.09E-03,
ENSRNOG00000042747,Fam72a,-0.93798511,FS30,0.000121664,6.11E-03,
